state,x,y
Andhra Pradesh, -112.0, -196.0
Arunachal Pradesh, 304.0, 203.0
Assam, 287.0, 147.0
Bihar, 78.0, 117.0
Chhattisgarh, -30.0, -38.0
Goa, -238.0, -181.0
Gujarat, -288.0, 58.0
Haryana, -185.0, 235.0
Himachal Pradesh, -130.0, 308.0
Jammu And Kashmir, -195.0, 364.0
Jharkhand, 72.0, 64.0
Karnataka, -186.0, -191.0
Kerala, -165.0, -338.0
Madhya Pradesh, -27.0, 167.0
Maharashtra, -214.0, -90.0
Manipur, 310.0, 107.0
Meghalaya, 240.0, 129.0
Mizoram, 281.0, 61.0
Nagaland, 328.0, 147.0
Odisha, 75.0, -39.0
Punjab, -199.0, 293.0
Rajasthan, -190.0, 138.0
Sikkim, 161.0, 185.0
Tamil Nadu, -119.0, -288.0
Telangana, -92.0, -112.0
Tripura, 251.0, 75.0
Uttar Pradesh, 3.0, 135.0
Uttarakhand, -96.0, 257.0
West Bengal, 150.0, 45.0